Code CAIRN,Titre,Sous-titre,Editeur,Disciplines,URL
MHC,1895,Revue d'histoire du cinéma,AFRHC,Arts; Histoire,https://shs.cairn.info/revue-1895?lang=fr
VIN,20 & 21. Revue d'histoire,,Presses de Sciences Po,Histoire; Science politique,https://shs.cairn.info/revue-vingt-et-vingt-et-un-revue-d-histoire?lang=fr
GRH,@GRH,,Association de Gestion des Ressources Humaines,Gestion,https://shs.cairn.info/revue-agrh1?lang=fr
ACO,A contrario,Revue interdisciplinaire de sciences sociales,BSN Press,Anthropologie; Science politique; Sociologie,https://shs.cairn.info/revue-a-contrario?lang=fr
ACCRA,ACCRA,Audit Comptabilité Contrôle : Recherches Appliquées,Association Francophone de Comptabilité,Gestion,https://shs.cairn.info/revue-accra?lang=fr
ARSS,Actes de la recherche en sciences sociales,,Le Seuil,Anthropologie; Sociologie,https://shs.cairn.info/revue-actes-de-la-recherche-en-sciences-sociales?lang=fr
APRP,Action publique. Recherche et pratiques,,Institut de la gestion publique et du développement économique,Science politique,https://droit.cairn.info/revue-action-publique-recherche-et-pratiques?lang=fr
AATC,Actualités en analyse transactionnelle,,Institut français d'analyse transactionnelle,Psychologie,https://shs.cairn.info/revue-actualites-en-analyse-transactionnelle?lang=fr
AMX,Actuel Marx,,Presses Universitaires de France,Économie; Philosophie; Science politique,https://shs.cairn.info/revue-actuel-marx?lang=fr
ADEN,Aden,Paul Nizan et les années trente,Association de la revue Aden,Histoire; Littérature,https://shs.cairn.info/revue-aden?lang=fr
ADMI,Administration,Revue de l'administration territoriale de l'État,L'Association du Corps préfectoral,Science politique,https://droit.cairn.info/revue-administration?lang=fr
ADMED,Administration & Éducation,,Association Française des Acteurs de l'Éducation,Science politique; Sciences de l'éducation,https://shs.cairn.info/revue-administration-et-education?lang=fr
ADOG,Adogma,,Association des Libres Penseurs de France,Intérêt général; Philosophie; Religions et spiritualité,https://shs.cairn.info/revue-adogma?lang=fr
ADO,Adolescence,,Éditions GREUPP,Psychologie,https://shs.cairn.info/revue-adolescence?lang=fr
AEDESP,ADSP,Actualité et dossier en santé publique,Presses de l'EHESP,Santé publique,https://stm.cairn.info/revue-actualite-et-dossier-en-sante-publique?lang=fr
AFCUL,Africultures,La revue des cultures africaines,Africultures,Arts,https://shs.cairn.info/revue-africultures?lang=fr
AFHI,Afrique & histoire,,Verdier,Histoire,https://shs.cairn.info/revue-afrique-et-histoire?lang=fr
AFCO1,Afrique contemporaine,La revue de l'Afrique et du développement,Association Afrique contemporaine,Géographie; Science politique,https://shs.cairn.info/revue-afrique-contemporaine?lang=fr
AEM,Afrique(s) en mouvement,,Université Internationale de Rabat,Science politique; Sociologie,https://shs.cairn.info/revue-afrique-en-mouvement?lang=fr
AGEN,Agencements,Recherches et pratiques sociales en expérimentation,Éditions du Commun,Arts; Sociologie; Travail social,https://shs.cairn.info/revue-agencements?lang=fr
AGONE,Agone,"Histoire, Politique & Sociologie",Agone,Intérêt général; Science politique; Sociologie,https://shs.cairn.info/revue-agone?lang=fr
AGORA,Agora débats/jeunesses,,Presses de Sciences Po,Sciences de l'éducation; Sociologie,https://shs.cairn.info/revue-agora-debats-jeunesses?lang=fr
ALL,Allemagne d'aujourd'hui,Revue d'information et de recherche sur l'Allemagne,Presses universitaires du Septentrion,Science politique,https://shs.cairn.info/revue-allemagne-d-aujourd-hui?lang=fr
ANV,Alternatives Non-Violentes,,Alternatives Non-Violentes,Science politique; Sociologie,https://shs.cairn.info/revue-alternatives-non-violentes?lang=fr
AMLA,Amérique latine,"Politique, Sociétés, Histoire",Association Amérique Latine,Science politique; Sociologie,https://shs.cairn.info/revue-amerique-latine?lang=fr
ANBR,Analecta Bruxellensia,,FUTP,Religions et spiritualité,https://shs.cairn.info/revue-analecta-bruxellensia?lang=fr
AFP,Analyse Freudienne Presse,,érès,Psychologie,https://shs.cairn.info/revue-analyse-freudienne-presse?lang=fr
AHAA,Annales d'Histoire de l'Art et d'Archéologie,,Editechnart,Arts; Histoire,https://shs.cairn.info/revue-annales-dhistoire-de-lart-et-darcheologie?lang=fr
ANBO,Annales de Bourgogne,,Éditions Universitaires de Dijon,Histoire,https://shs.cairn.info/revue-annales-de-bourgogne?lang=fr
ABPO,Annales de Bretagne et des pays de l'Ouest,Anjou. Maine. Poitou-Charente. Touraine,Presses universitaires de Rennes,Histoire,https://shs.cairn.info/revue-annales-de-bretagne-et-des-pays-de-l-ouest?lang=fr
ADH1,Annales de démographie historique,,Armand Colin,Histoire,https://shs.cairn.info/revue-annales-de-demographie-historique-1?lang=fr
AG,Annales de géographie,,Armand Colin,Géographie,https://shs.cairn.info/revue-annales-de-geographie?lang=fr
